Game,Set,Result,RGB,Red,Green,Blue,Valid
35,5," 3 blue, 7 red","[7, 0, 3]",7,0,3,True
36,5," 1 red, 6 blue, 4 green","[1, 4, 6]",1,4,6,True
38,5," 14 red, 5 green","[14, 5, 0]",14,5,0,False
39,5," 2 green, 11 red, 4 blue","[11, 2, 4]",11,2,4,True
42,5," 9 blue, 7 green, 2 red","[2, 7, 9]",2,7,9,True
43,5," 9 green, 7 blue, 7 red","[7, 9, 7]",7,9,7,True
51,5," 13 green, 10 red, 2 blue","[10, 13, 2]",10,13,2,True
52,5, 3 blue,"[0, 0, 3]",0,0,3,True
55,5," 2 green, 2 red, 5 blue","[2, 2, 5]",2,2,5,True
56,5," 15 blue, 1 red","[1, 0, 15]",1,0,15,False
57,5, 5 green,"[0, 5, 0]",0,5,0,True
58,5," 7 green, 3 red, 4 blue","[3, 7, 4]",3,7,4,True
61,5," 3 red, 14 green, 1 blue","[3, 14, 1]",3,14,1,False
64,5," 3 blue, 1 red","[1, 0, 3]",1,0,3,True
66,5," 1 blue, 5 red","[5, 0, 1]",5,0,1,True
68,5," 8 blue, 15 red, 4 green","[15, 4, 8]",15,4,8,False
69,5," 1 red, 2 blue","[1, 0, 2]",1,0,2,True
70,5," 10 red, 11 green","[10, 11, 0]",10,11,0,True
73,5," 1 red, 12 blue","[1, 0, 12]",1,0,12,True
74,5, 1 green,"[0, 1, 0]",0,1,0,True
76,5," 12 red, 1 blue","[12, 0, 1]",12,0,1,True
79,5," 3 green, 1 blue, 8 red","[8, 3, 1]",8,3,1,True
80,5," 10 blue, 17 red, 5 green","[17, 5, 10]",17,5,10,False
83,5," 3 blue, 1 green, 4 red","[4, 1, 3]",4,1,3,True
85,5," 5 green, 7 red, 17 blue","[7, 5, 17]",7,5,17,False
87,5," 6 blue, 9 green","[0, 9, 6]",0,9,6,True
89,5," 2 green, 6 red","[6, 2, 0]",6,2,0,True
90,5," 3 blue, 13 green, 13 red","[13, 13, 3]",13,13,3,False
93,5," 1 red, 4 blue, 4 green","[1, 4, 4]",1,4,4,True
94,5," 1 green, 1 blue, 1 red","[1, 1, 1]",1,1,1,True
95,5," 1 red, 3 green, 3 blue","[1, 3, 3]",1,3,3,True
96,5," 3 blue, 10 green","[0, 10, 3]",0,10,3,True
98,5," 3 green, 3 blue, 3 red","[3, 3, 3]",3,3,3,True
2,6," 9 green, 5 red, 2 blue","[5, 9, 2]",5,9,2,True
11,6," 1 red, 10 green, 2 blue","[1, 10, 2]",1,10,2,True
14,6," 9 green, 14 blue, 6 red","[6, 9, 14]",6,9,14,True
15,6," 9 green, 3 red, 1 blue","[3, 9, 1]",3,9,1,True
19,6," 1 blue, 5 green, 10 red","[10, 5, 1]",10,5,1,True
21,6," 2 green, 16 red","[16, 2, 0]",16,2,0,False
25,6," 2 blue, 7 red","[7, 0, 2]",7,0,2,True
35,6," 4 red, 1 green, 3 blue","[4, 1, 3]",4,1,3,True
36,6," 1 green, 1 red, 11 blue","[1, 1, 11]",1,1,11,True
38,6," 15 green, 13 red, 2 blue","[13, 15, 2]",13,15,2,False
43,6," 5 blue, 5 green, 6 red","[6, 5, 5]",6,5,5,True
52,6," 1 red, 6 blue","[1, 0, 6]",1,0,6,True
56,6," 12 blue, 4 red","[4, 0, 12]",4,0,12,True
57,6," 2 red, 1 green","[2, 1, 0]",2,1,0,True
58,6, 4 red,"[4, 0, 0]",4,0,0,True
61,6," 3 red, 2 blue, 9 green","[3, 9, 2]",3,9,2,True
66,6," 1 blue, 8 red","[8, 0, 1]",8,0,1,True
68,6," 7 green, 14 blue, 6 red","[6, 7, 14]",6,7,14,True
69,6," 2 green, 5 blue, 11 red","[11, 2, 5]",11,2,5,True
73,6," 12 blue, 3 green","[0, 3, 12]",0,3,12,True
76,6," 4 red, 2 green, 15 blue","[4, 2, 15]",4,2,15,False
79,6," 4 green, 1 blue","[0, 4, 1]",0,4,1,True
80,6," 8 red, 2 blue, 6 green","[8, 6, 2]",8,6,2,True
87,6," 9 blue, 7 green, 1 red","[1, 7, 9]",1,7,9,True
89,6," 1 green, 12 red","[12, 1, 0]",12,1,0,True
95,6," 7 red, 14 green, 4 blue","[7, 14, 4]",7,14,4,False
