Hand,Bid,Type,Type Sort,Hand Tuple,Hand Sort,Rank,Winnings
67A47,217,1P,5,"('6', '7', 'A', '4', '7')","(8, 7, 0, 10, 7)",268,58156
687J8,541,1P,5,"('6', '8', '7', 'J', '8')","(8, 6, 7, 3, 6)",269,145529
68QKQ,213,1P,5,"('6', '8', 'Q', 'K', 'Q')","(8, 6, 2, 1, 2)",270,57510
69632,298,1P,5,"('6', '9', '6', '3', '2')","(8, 5, 8, 11, 12)",271,80758
6965Q,168,1P,5,"('6', '9', '6', '5', 'Q')","(8, 5, 8, 9, 2)",272,45696
69755,89,1P,5,"('6', '9', '7', '5', '5')","(8, 5, 7, 9, 9)",273,24297
6T75T,552,1P,5,"('6', 'T', '7', '5', 'T')","(8, 4, 7, 9, 4)",274,151248
6J343,176,1P,5,"('6', 'J', '3', '4', '3')","(8, 3, 11, 10, 11)",275,48400
6J39J,957,1P,5,"('6', 'J', '3', '9', 'J')","(8, 3, 11, 5, 3)",276,264132
6J545,964,1P,5,"('6', 'J', '5', '4', '5')","(8, 3, 9, 10, 9)",277,267028
6J833,990,1P,5,"('6', 'J', '8', '3', '3')","(8, 3, 6, 11, 11)",278,275220
6JQQ8,218,1P,5,"('6', 'J', 'Q', 'Q', '8')","(8, 3, 2, 2, 6)",279,60822
6JK7K,163,1P,5,"('6', 'J', 'K', '7', 'K')","(8, 3, 1, 7, 1)",280,45640
6JA46,56,1P,5,"('6', 'J', 'A', '4', '6')","(8, 3, 0, 10, 8)",281,15736
6Q878,774,1P,5,"('6', 'Q', '8', '7', '8')","(8, 2, 6, 7, 6)",282,218268
6Q8K6,802,1P,5,"('6', 'Q', '8', 'K', '6')","(8, 2, 6, 1, 8)",283,226966
72479,387,1P,5,"('7', '2', '4', '7', '9')","(7, 12, 10, 7, 5)",284,109908
73243,152,1P,5,"('7', '3', '2', '4', '3')","(7, 11, 12, 10, 11)",285,43320
74AJJ,773,1P,5,"('7', '4', 'A', 'J', 'J')","(7, 10, 0, 3, 3)",286,221078
757Q4,30,1P,5,"('7', '5', '7', 'Q', '4')","(7, 9, 7, 2, 10)",287,8610
75A76,693,1P,5,"('7', '5', 'A', '7', '6')","(7, 9, 0, 7, 8)",288,199584
77JAT,973,1P,5,"('7', '7', 'J', 'A', 'T')","(7, 7, 3, 0, 4)",289,281197
7847J,644,1P,5,"('7', '8', '4', '7', 'J')","(7, 6, 10, 7, 3)",290,186760
79J6J,84,1P,5,"('7', '9', 'J', '6', 'J')","(7, 5, 3, 8, 3)",291,24444
7JK57,885,1P,5,"('7', 'J', 'K', '5', '7')","(7, 3, 1, 9, 7)",292,258420
7JA3A,854,1P,5,"('7', 'J', 'A', '3', 'A')","(7, 3, 0, 11, 0)",293,250222
7Q939,266,1P,5,"('7', 'Q', '9', '3', '9')","(7, 2, 5, 11, 5)",294,78204
7QJAJ,961,1P,5,"('7', 'Q', 'J', 'A', 'J')","(7, 2, 3, 0, 3)",295,283495
7QK27,506,1P,5,"('7', 'Q', 'K', '2', '7')","(7, 2, 1, 12, 7)",296,149776
7A579,642,1P,5,"('7', 'A', '5', '7', '9')","(7, 0, 9, 7, 5)",297,190674
7AAQ6,636,1P,5,"('7', 'A', 'A', 'Q', '6')","(7, 0, 0, 2, 8)",298,189528
82QTQ,939,1P,5,"('8', '2', 'Q', 'T', 'Q')","(6, 12, 2, 4, 2)",299,280761
832TT,221,1P,5,"('8', '3', '2', 'T', 'T')","(6, 11, 12, 4, 4)",300,66300
832KK,484,1P,5,"('8', '3', '2', 'K', 'K')","(6, 11, 12, 1, 1)",301,145684
83TTA,982,1P,5,"('8', '3', 'T', 'T', 'A')","(6, 11, 4, 4, 0)",302,296564
845AA,38,1P,5,"('8', '4', '5', 'A', 'A')","(6, 10, 9, 0, 0)",303,11514
84722,428,1P,5,"('8', '4', '7', '2', '2')","(6, 10, 7, 12, 12)",304,130112
878T5,509,1P,5,"('8', '7', '8', 'T', '5')","(6, 7, 6, 4, 9)",305,155245
889T5,922,1P,5,"('8', '8', '9', 'T', '5')","(6, 6, 5, 4, 9)",306,282132
8T7TQ,611,1P,5,"('8', 'T', '7', 'T', 'Q')","(6, 4, 7, 4, 2)",307,187577
8JT33,855,1P,5,"('8', 'J', 'T', '3', '3')","(6, 3, 4, 11, 11)",308,263340
8Q77T,351,1P,5,"('8', 'Q', '7', '7', 'T')","(6, 2, 7, 7, 4)",309,108459
8QJQ4,558,1P,5,"('8', 'Q', 'J', 'Q', '4')","(6, 2, 3, 2, 10)",310,172980
8QA5A,200,1P,5,"('8', 'Q', 'A', '5', 'A')","(6, 2, 0, 9, 0)",311,62200
8K82J,146,1P,5,"('8', 'K', '8', '2', 'J')","(6, 1, 6, 12, 3)",312,45552
8KJ48,42,1P,5,"('8', 'K', 'J', '4', '8')","(6, 1, 3, 10, 6)",313,13146
8A334,127,1P,5,"('8', 'A', '3', '3', '4')","(6, 0, 11, 11, 10)",314,39878
8AAT3,771,1P,5,"('8', 'A', 'A', 'T', '3')","(6, 0, 0, 4, 11)",315,242865
929Q7,626,1P,5,"('9', '2', '9', 'Q', '7')","(5, 12, 5, 2, 7)",316,197816
92A77,459,1P,5,"('9', '2', 'A', '7', '7')","(5, 12, 0, 7, 7)",317,145503
938AA,70,1P,5,"('9', '3', '8', 'A', 'A')","(5, 11, 6, 0, 0)",318,22260
94223,666,1P,5,"('9', '4', '2', '2', '3')","(5, 10, 12, 12, 11)",319,212454
96892,803,1P,5,"('9', '6', '8', '9', '2')","(5, 8, 6, 5, 12)",320,256960
982Q9,181,1P,5,"('9', '8', '2', 'Q', '9')","(5, 6, 12, 2, 5)",321,58101
98459,91,1P,5,"('9', '8', '4', '5', '9')","(5, 6, 10, 9, 5)",322,29302
9962T,672,1P,5,"('9', '9', '6', '2', 'T')","(5, 5, 8, 12, 4)",323,217056
9964Q,715,1P,5,"('9', '9', '6', '4', 'Q')","(5, 5, 8, 10, 2)",324,231660
996Q5,113,1P,5,"('9', '9', '6', 'Q', '5')","(5, 5, 8, 2, 9)",325,36725
99A28,395,1P,5,"('9', '9', 'A', '2', '8')","(5, 5, 0, 12, 6)",326,128770
9T7J7,318,1P,5,"('9', 'T', '7', 'J', '7')","(5, 4, 7, 3, 7)",327,103986
9J66A,208,1P,5,"('9', 'J', '6', '6', 'A')","(5, 3, 8, 8, 0)",328,68224
9QQ4J,950,1P,5,"('9', 'Q', 'Q', '4', 'J')","(5, 2, 2, 10, 3)",329,312550
9K9A4,897,1P,5,"('9', 'K', '9', 'A', '4')","(5, 1, 5, 0, 10)",330,296010
T2889,609,1P,5,"('T', '2', '8', '8', '9')","(4, 12, 6, 6, 5)",331,201579
T355Q,149,1P,5,"('T', '3', '5', '5', 'Q')","(4, 11, 9, 9, 2)",332,49468
T3949,756,1P,5,"('T', '3', '9', '4', '9')","(4, 11, 5, 10, 5)",333,251748
T4322,550,1P,5,"('T', '4', '3', '2', '2')","(4, 10, 11, 12, 12)",334,183700
T4885,353,1P,5,"('T', '4', '8', '8', '5')","(4, 10, 6, 6, 9)",335,118255
T4T59,400,1P,5,"('T', '4', 'T', '5', '9')","(4, 10, 4, 9, 5)",336,134400
T57TJ,992,1P,5,"('T', '5', '7', 'T', 'J')","(4, 9, 7, 4, 3)",337,334304
T5ATJ,958,1P,5,"('T', '5', 'A', 'T', 'J')","(4, 9, 0, 4, 3)",338,323804
T6343,623,1P,5,"('T', '6', '3', '4', '3')","(4, 8, 11, 10, 11)",339,211197
T6856,538,1P,5,"('T', '6', '8', '5', '6')","(4, 8, 6, 9, 8)",340,182920
T6TK4,265,1P,5,"('T', '6', 'T', 'K', '4')","(4, 8, 4, 1, 10)",341,90365
T6J2T,507,1P,5,"('T', '6', 'J', '2', 'T')","(4, 8, 3, 12, 4)",342,173394
T6Q2Q,720,1P,5,"('T', '6', 'Q', '2', 'Q')","(4, 8, 2, 12, 2)",343,246960
T78JT,454,1P,5,"('T', '7', '8', 'J', 'T')","(4, 7, 6, 3, 4)",344,156176
T829T,744,1P,5,"('T', '8', '2', '9', 'T')","(4, 6, 12, 5, 4)",345,256680
T8669,410,1P,5,"('T', '8', '6', '6', '9')","(4, 6, 8, 8, 5)",346,141860
T878Q,253,1P,5,"('T', '8', '7', '8', 'Q')","(4, 6, 7, 6, 2)",347,87791
T8JJQ,573,1P,5,"('T', '8', 'J', 'J', 'Q')","(4, 6, 3, 3, 2)",348,199404
T9J8J,893,1P,5,"('T', '9', 'J', '8', 'J')","(4, 5, 3, 6, 3)",349,311657
TTJ45,483,1P,5,"('T', 'T', 'J', '4', '5')","(4, 4, 3, 10, 9)",350,169050
TJ544,782,1P,5,"('T', 'J', '5', '4', '4')","(4, 3, 9, 10, 10)",351,274482
TJA9J,423,1P,5,"('T', 'J', 'A', '9', 'J')","(4, 3, 0, 5, 3)",352,148896
TQQJ3,282,1P,5,"('T', 'Q', 'Q', 'J', '3')","(4, 2, 2, 3, 11)",353,99546
TA22J,688,1P,5,"('T', 'A', '2', '2', 'J')","(4, 0, 12, 12, 3)",354,243552
TA9JT,367,1P,5,"('T', 'A', '9', 'J', 'T')","(4, 0, 5, 3, 4)",355,130285
TAJA2,998,1P,5,"('T', 'A', 'J', 'A', '2')","(4, 0, 3, 0, 12)",356,355288
TAK9K,967,1P,5,"('T', 'A', 'K', '9', 'K')","(4, 0, 1, 5, 1)",357,345219
J228A,345,1P,5,"('J', '2', '2', '8', 'A')","(3, 12, 12, 6, 0)",358,123510
J4423,1000,1P,5,"('J', '4', '4', '2', '3')","(3, 10, 10, 12, 11)",359,359000
J474Q,904,1P,5,"('J', '4', '7', '4', 'Q')","(3, 10, 7, 10, 2)",360,325440
J49A9,503,1P,5,"('J', '4', '9', 'A', '9')","(3, 10, 5, 0, 5)",361,181583
J4Q4A,769,1P,5,"('J', '4', 'Q', '4', 'A')","(3, 10, 2, 10, 0)",362,278378
J655A,656,1P,5,"('J', '6', '5', '5', 'A')","(3, 8, 9, 9, 0)",363,238128
J6747,469,1P,5,"('J', '6', '7', '4', '7')","(3, 8, 7, 10, 7)",364,170716
J68TJ,932,1P,5,"('J', '6', '8', 'T', 'J')","(3, 8, 6, 4, 3)",365,340180
J6JQK,336,1P,5,"('J', '6', 'J', 'Q', 'K')","(3, 8, 3, 2, 1)",366,122976
J7J2T,828,1P,5,"('J', '7', 'J', '2', 'T')","(3, 7, 3, 12, 4)",367,303876
J83J5,518,1P,5,"('J', '8', '3', 'J', '5')","(3, 6, 11, 3, 9)",368,190624
J8559,40,1P,5,"('J', '8', '5', '5', '9')","(3, 6, 9, 9, 5)",369,14760
J8577,827,1P,5,"('J', '8', '5', '7', '7')","(3, 6, 9, 7, 7)",370,305990
J8J79,687,1P,5,"('J', '8', 'J', '7', '9')","(3, 6, 3, 7, 5)",371,254877
J8A2A,228,1P,5,"('J', '8', 'A', '2', 'A')","(3, 6, 0, 12, 0)",372,84816
J98Q8,921,1P,5,"('J', '9', '8', 'Q', '8')","(3, 5, 6, 2, 6)",373,343533
J9JAQ,245,1P,5,"('J', '9', 'J', 'A', 'Q')","(3, 5, 3, 0, 2)",374,91630
JT886,903,1P,5,"('J', 'T', '8', '8', '6')","(3, 4, 6, 6, 8)",375,338625
JTJ73,366,1P,5,"('J', 'T', 'J', '7', '3')","(3, 4, 3, 7, 11)",376,137616
JJ7T9,640,1P,5,"('J', 'J', '7', 'T', '9')","(3, 3, 7, 4, 5)",377,241280
JQ9Q6,529,1P,5,"('J', 'Q', '9', 'Q', '6')","(3, 2, 5, 2, 8)",378,199962
JQAA8,323,1P,5,"('J', 'Q', 'A', 'A', '8')","(3, 2, 0, 0, 6)",379,122417
JK6JT,122,1P,5,"('J', 'K', '6', 'J', 'T')","(3, 1, 8, 3, 4)",380,46360
JK787,74,1P,5,"('J', 'K', '7', '8', '7')","(3, 1, 7, 6, 7)",381,28194
JA5KA,942,1P,5,"('J', 'A', '5', 'K', 'A')","(3, 0, 9, 1, 0)",382,359844
JATT4,589,1P,5,"('J', 'A', 'T', 'T', '4')","(3, 0, 4, 4, 10)",383,225587
Q2JQ6,109,1P,5,"('Q', '2', 'J', 'Q', '6')","(2, 12, 3, 2, 8)",384,41856
Q3J8J,396,1P,5,"('Q', '3', 'J', '8', 'J')","(2, 11, 3, 6, 3)",385,152460
Q3A6A,274,1P,5,"('Q', '3', 'A', '6', 'A')","(2, 11, 0, 8, 0)",386,105764
Q44JT,567,1P,5,"('Q', '4', '4', 'J', 'T')","(2, 10, 10, 3, 4)",387,219429
Q5939,504,1P,5,"('Q', '5', '9', '3', '9')","(2, 9, 5, 11, 5)",388,195552
Q668J,946,1P,5,"('Q', '6', '6', '8', 'J')","(2, 8, 8, 6, 3)",389,367994
Q75T5,898,1P,5,"('Q', '7', '5', 'T', '5')","(2, 7, 9, 4, 9)",390,350220
Q9KQT,269,1P,5,"('Q', '9', 'K', 'Q', 'T')","(2, 5, 1, 2, 4)",391,105179
QJ556,80,1P,5,"('Q', 'J', '5', '5', '6')","(2, 3, 9, 9, 8)",392,31360
QJKQ8,730,1P,5,"('Q', 'J', 'K', 'Q', '8')","(2, 3, 1, 2, 6)",393,286890
QA688,559,1P,5,"('Q', 'A', '6', '8', '8')","(2, 0, 8, 6, 6)",394,220246
QAJA9,778,1P,5,"('Q', 'A', 'J', 'A', '9')","(2, 0, 3, 0, 5)",395,307310
QAQT5,629,1P,5,"('Q', 'A', 'Q', 'T', '5')","(2, 0, 2, 4, 9)",396,249084
K224T,912,1P,5,"('K', '2', '2', '4', 'T')","(1, 12, 12, 10, 4)",397,362064
K3K87,415,1P,5,"('K', '3', 'K', '8', '7')","(1, 11, 1, 6, 7)",398,165170
K47JK,185,1P,5,"('K', '4', '7', 'J', 'K')","(1, 10, 7, 3, 1)",399,73815
K4828,15,1P,5,"('K', '4', '8', '2', '8')","(1, 10, 6, 12, 6)",400,6000
K4T48,820,1P,5,"('K', '4', 'T', '4', '8')","(1, 10, 4, 10, 6)",401,328820
K4KJ3,93,1P,5,"('K', '4', 'K', 'J', '3')","(1, 10, 1, 3, 11)",402,37386
K55J7,826,1P,5,"('K', '5', '5', 'J', '7')","(1, 9, 9, 3, 7)",403,332878
K55QA,681,1P,5,"('K', '5', '5', 'Q', 'A')","(1, 9, 9, 2, 0)",404,275124
K5T22,646,1P,5,"('K', '5', 'T', '2', '2')","(1, 9, 4, 12, 12)",405,261630
K9474,670,1P,5,"('K', '9', '4', '7', '4')","(1, 5, 10, 7, 10)",406,272020
K9849,257,1P,5,"('K', '9', '8', '4', '9')","(1, 5, 6, 10, 5)",407,104599
KT2J2,659,1P,5,"('K', 'T', '2', 'J', '2')","(1, 4, 12, 3, 12)",408,268872
KTJT3,262,1P,5,"('K', 'T', 'J', 'T', '3')","(1, 4, 3, 4, 11)",409,107158
KJ8QK,846,1P,5,"('K', 'J', '8', 'Q', 'K')","(1, 3, 6, 2, 1)",410,346860
KJK4A,732,1P,5,"('K', 'J', 'K', '4', 'A')","(1, 3, 1, 10, 0)",411,300852
KQ9Q4,505,1P,5,"('K', 'Q', '9', 'Q', '4')","(1, 2, 5, 2, 10)",412,208060
KQK74,195,1P,5,"('K', 'Q', 'K', '7', '4')","(1, 2, 1, 7, 10)",413,80535
KKQ68,438,1P,5,"('K', 'K', 'Q', '6', '8')","(1, 1, 2, 8, 6)",414,181332
KA8K7,101,1P,5,"('K', 'A', '8', 'K', '7')","(1, 0, 6, 1, 7)",415,41915
A25Q5,9,1P,5,"('A', '2', '5', 'Q', '5')","(0, 12, 9, 2, 9)",416,3744
A3Q44,520,1P,5,"('A', '3', 'Q', '4', '4')","(0, 11, 2, 10, 10)",417,216840
A45A6,927,1P,5,"('A', '4', '5', 'A', '6')","(0, 10, 9, 0, 8)",418,387486
A4J77,718,1P,5,"('A', '4', 'J', '7', '7')","(0, 10, 3, 7, 7)",419,300842
A52K5,692,1P,5,"('A', '5', '2', 'K', '5')","(0, 9, 12, 1, 9)",420,290640
A5T25,97,1P,5,"('A', '5', 'T', '2', '5')","(0, 9, 4, 12, 9)",421,40837
A7457,294,1P,5,"('A', '7', '4', '5', '7')","(0, 7, 10, 9, 7)",422,124068
A78QA,571,1P,5,"('A', '7', '8', 'Q', 'A')","(0, 7, 6, 2, 0)",423,241533
A9J8A,334,1P,5,"('A', '9', 'J', '8', 'A')","(0, 5, 3, 6, 0)",424,141616
AT997,628,1P,5,"('A', 'T', '9', '9', '7')","(0, 4, 5, 5, 7)",425,266900
AQKQ6,21,1P,5,"('A', 'Q', 'K', 'Q', '6')","(0, 2, 1, 2, 8)",426,8946
AK8JK,11,1P,5,"('A', 'K', '8', 'J', 'K')","(0, 1, 6, 3, 1)",427,4697
AK9JA,17,1P,5,"('A', 'K', '9', 'J', 'A')","(0, 1, 5, 3, 0)",428,7276
22366,158,2P,4,"('2', '2', '3', '6', '6')","(12, 12, 11, 8, 8)",429,67782
22QTT,114,2P,4,"('2', '2', 'Q', 'T', 'T')","(12, 12, 2, 4, 4)",430,49020
2552Q,694,2P,4,"('2', '5', '5', '2', 'Q')","(12, 9, 9, 12, 2)",431,299114
27J27,147,2P,4,"('2', '7', 'J', '2', '7')","(12, 7, 3, 12, 7)",432,63504
288Q2,825,2P,4,"('2', '8', '8', 'Q', '2')","(12, 6, 6, 2, 12)",433,357225
29923,222,2P,4,"('2', '9', '9', '2', '3')","(12, 5, 5, 12, 11)",434,96348
29924,414,2P,4,"('2', '9', '9', '2', '4')","(12, 5, 5, 12, 10)",435,180090
2992J,707,2P,4,"('2', '9', '9', '2', 'J')","(12, 5, 5, 12, 3)",436,308252
2TT33,911,2P,4,"('2', 'T', 'T', '3', '3')","(12, 4, 4, 11, 11)",437,398107
2J288,403,2P,4,"('2', 'J', '2', '8', '8')","(12, 3, 12, 6, 6)",438,176514
2KK55,405,2P,4,"('2', 'K', 'K', '5', '5')","(12, 1, 1, 9, 9)",439,177795
2A26A,907,2P,4,"('2', 'A', '2', '6', 'A')","(12, 0, 12, 8, 0)",440,399080
2A2KA,849,2P,4,"('2', 'A', '2', 'K', 'A')","(12, 0, 12, 1, 0)",441,374409
32442,530,2P,4,"('3', '2', '4', '4', '2')","(11, 12, 10, 10, 12)",442,234260
33977,263,2P,4,"('3', '3', '9', '7', '7')","(11, 11, 5, 7, 7)",443,116509
33QJQ,153,2P,4,"('3', '3', 'Q', 'J', 'Q')","(11, 11, 2, 3, 2)",444,67932
373K7,85,2P,4,"('3', '7', '3', 'K', '7')","(11, 7, 11, 1, 7)",445,37825
3JJ36,437,2P,4,"('3', 'J', 'J', '3', '6')","(11, 3, 3, 11, 8)",446,194902
3QQ44,433,2P,4,"('3', 'Q', 'Q', '4', '4')","(11, 2, 2, 10, 10)",447,193551
3K8K8,881,2P,4,"('3', 'K', '8', 'K', '8')","(11, 1, 6, 1, 6)",448,394688
3A9A3,431,2P,4,"('3', 'A', '9', 'A', '3')","(11, 0, 5, 0, 11)",449,193519
42J24,697,2P,4,"('4', '2', 'J', '2', '4')","(10, 12, 3, 12, 10)",450,313650
42AA2,35,2P,4,"('4', '2', 'A', 'A', '2')","(10, 12, 0, 0, 12)",451,15785
43423,436,2P,4,"('4', '3', '4', '2', '3')","(10, 11, 10, 12, 11)",452,197072
43J34,745,2P,4,"('4', '3', 'J', '3', '4')","(10, 11, 3, 11, 10)",453,337485
447AA,241,2P,4,"('4', '4', '7', 'A', 'A')","(10, 10, 7, 0, 0)",454,109414
448T8,607,2P,4,"('4', '4', '8', 'T', '8')","(10, 10, 6, 4, 6)",455,276185
44J6J,610,2P,4,"('4', '4', 'J', '6', 'J')","(10, 10, 3, 8, 3)",456,278160
44QQJ,795,2P,4,"('4', '4', 'Q', 'Q', 'J')","(10, 10, 2, 2, 3)",457,363315
44A3A,956,2P,4,"('4', '4', 'A', '3', 'A')","(10, 10, 0, 11, 0)",458,437848
45A4A,386,2P,4,"('4', '5', 'A', '4', 'A')","(10, 9, 0, 10, 0)",459,177174
4774A,370,2P,4,"('4', '7', '7', '4', 'A')","(10, 7, 7, 10, 0)",460,170200
477J4,378,2P,4,"('4', '7', '7', 'J', '4')","(10, 7, 7, 3, 10)",461,174258
49797,363,2P,4,"('4', '9', '7', '9', '7')","(10, 5, 7, 5, 7)",462,167706
49848,951,2P,4,"('4', '9', '8', '4', '8')","(10, 5, 6, 10, 6)",463,440313
4Q774,866,2P,4,"('4', 'Q', '7', '7', '4')","(10, 2, 7, 7, 10)",464,401824
4AJA4,960,2P,4,"('4', 'A', 'J', 'A', '4')","(10, 0, 3, 0, 10)",465,446400
52992,372,2P,4,"('5', '2', '9', '9', '2')","(9, 12, 5, 5, 12)",466,173352
53232,821,2P,4,"('5', '3', '2', '3', '2')","(9, 11, 12, 11, 12)",467,383407
55223,192,2P,4,"('5', '5', '2', '2', '3')","(9, 9, 12, 12, 11)",468,89856
552TT,513,2P,4,"('5', '5', '2', 'T', 'T')","(9, 9, 12, 4, 4)",469,240597
55667,686,2P,4,"('5', '5', '6', '6', '7')","(9, 9, 8, 8, 7)",470,322420
55J6J,669,2P,4,"('5', '5', 'J', '6', 'J')","(9, 9, 3, 8, 3)",471,315099
55A77,369,2P,4,"('5', '5', 'A', '7', '7')","(9, 9, 0, 7, 7)",472,174168
57567,635,2P,4,"('5', '7', '5', '6', '7')","(9, 7, 9, 8, 7)",473,300355
585J8,180,2P,4,"('5', '8', '5', 'J', '8')","(9, 6, 9, 3, 6)",474,85320
5J533,119,2P,4,"('5', 'J', '5', '3', '3')","(9, 3, 9, 11, 11)",475,56525
5QQAA,645,2P,4,"('5', 'Q', 'Q', 'A', 'A')","(9, 2, 2, 0, 0)",476,307020
5KTK5,872,2P,4,"('5', 'K', 'T', 'K', '5')","(9, 1, 4, 1, 9)",477,415944
6446J,207,2P,4,"('6', '4', '4', '6', 'J')","(8, 10, 10, 8, 3)",478,98946
6446K,150,2P,4,"('6', '4', '4', '6', 'K')","(8, 10, 10, 8, 1)",479,71850
64747,661,2P,4,"('6', '4', '7', '4', '7')","(8, 10, 7, 10, 7)",480,317280
65695,980,2P,4,"('6', '5', '6', '9', '5')","(8, 9, 8, 5, 9)",481,471380
65J56,991,2P,4,"('6', '5', 'J', '5', '6')","(8, 9, 3, 9, 8)",482,477662
66899,223,2P,4,"('6', '6', '8', '9', '9')","(8, 8, 6, 5, 5)",483,107709
66922,488,2P,4,"('6', '6', '9', '2', '2')","(8, 8, 5, 12, 12)",484,236192
66JAA,284,2P,4,"('6', '6', 'J', 'A', 'A')","(8, 8, 3, 0, 0)",485,137740
66AA4,539,2P,4,"('6', '6', 'A', 'A', '4')","(8, 8, 0, 0, 10)",486,261954
67272,434,2P,4,"('6', '7', '2', '7', '2')","(8, 7, 12, 7, 12)",487,211358
676T7,931,2P,4,"('6', '7', '6', 'T', '7')","(8, 7, 8, 4, 7)",488,454328
677J6,925,2P,4,"('6', '7', '7', 'J', '6')","(8, 7, 7, 3, 8)",489,452325
6TKT6,643,2P,4,"('6', 'T', 'K', 'T', '6')","(8, 4, 1, 4, 8)",490,315070
6J868,691,2P,4,"('6', 'J', '8', '6', '8')","(8, 3, 6, 8, 6)",491,339281
6K6JK,780,2P,4,"('6', 'K', '6', 'J', 'K')","(8, 1, 8, 3, 1)",492,383760
6A77A,585,2P,4,"('6', 'A', '7', '7', 'A')","(8, 0, 7, 7, 0)",493,288405
74455,792,2P,4,"('7', '4', '4', '5', '5')","(7, 10, 10, 9, 9)",494,391248
75579,621,2P,4,"('7', '5', '5', '7', '9')","(7, 9, 9, 7, 5)",495,307395
75588,673,2P,4,"('7', '5', '5', '8', '8')","(7, 9, 9, 6, 6)",496,333808
76886,892,2P,4,"('7', '6', '8', '8', '6')","(7, 8, 6, 6, 8)",497,443324
77232,175,2P,4,"('7', '7', '2', '3', '2')","(7, 7, 12, 11, 12)",498,87150
773T3,325,2P,4,"('7', '7', '3', 'T', '3')","(7, 7, 11, 4, 11)",499,162175
77KJK,889,2P,4,"('7', '7', 'K', 'J', 'K')","(7, 7, 1, 3, 1)",500,444500
787JJ,739,2P,4,"('7', '8', '7', 'J', 'J')","(7, 6, 7, 3, 3)",501,370239
799AA,379,2P,4,"('7', '9', '9', 'A', 'A')","(7, 5, 5, 0, 0)",502,190258
7TJ7T,354,2P,4,"('7', 'T', 'J', '7', 'T')","(7, 4, 3, 7, 4)",503,178062
7J788,335,2P,4,"('7', 'J', '7', '8', '8')","(7, 3, 7, 6, 6)",504,168840
7K79K,542,2P,4,"('7', 'K', '7', '9', 'K')","(7, 1, 7, 5, 1)",505,273710
7A7KK,94,2P,4,"('7', 'A', '7', 'K', 'K')","(7, 0, 7, 1, 1)",506,47564
83KK3,562,2P,4,"('8', '3', 'K', 'K', '3')","(6, 11, 1, 1, 11)",507,284934
84383,19,2P,4,"('8', '4', '3', '8', '3')","(6, 10, 11, 6, 11)",508,9652
85K8K,930,2P,4,"('8', '5', 'K', '8', 'K')","(6, 9, 1, 6, 1)",509,473370
87728,331,2P,4,"('8', '7', '7', '2', '8')","(6, 7, 7, 12, 6)",510,168810
88262,772,2P,4,"('8', '8', '2', '6', '2')","(6, 6, 12, 8, 12)",511,394492
883Q3,749,2P,4,"('8', '8', '3', 'Q', '3')","(6, 6, 11, 2, 11)",512,383488
88544,751,2P,4,"('8', '8', '5', '4', '4')","(6, 6, 9, 10, 10)",513,385263
88577,288,2P,4,"('8', '8', '5', '7', '7')","(6, 6, 9, 7, 7)",514,148032
889J9,494,2P,4,"('8', '8', '9', 'J', '9')","(6, 6, 5, 3, 5)",515,254410
88AA7,404,2P,4,"('8', '8', 'A', 'A', '7')","(6, 6, 0, 0, 7)",516,208464
8T8QT,704,2P,4,"('8', 'T', '8', 'Q', 'T')","(6, 4, 6, 2, 4)",517,363968
8J833,467,2P,4,"('8', 'J', '8', '3', '3')","(6, 3, 6, 11, 11)",518,241906
8JAA8,817,2P,4,"('8', 'J', 'A', 'A', '8')","(6, 3, 0, 0, 6)",519,424023
8A282,297,2P,4,"('8', 'A', '2', '8', '2')","(6, 0, 12, 6, 12)",520,154440
8A5A5,95,2P,4,"('8', 'A', '5', 'A', '5')","(6, 0, 9, 0, 9)",521,49495
8AA66,941,2P,4,"('8', 'A', 'A', '6', '6')","(6, 0, 0, 8, 8)",522,491202
92669,344,2P,4,"('9', '2', '6', '6', '9')","(5, 12, 8, 8, 5)",523,179912
95A59,495,2P,4,"('9', '5', 'A', '5', '9')","(5, 9, 0, 9, 5)",524,259380
97397,155,2P,4,"('9', '7', '3', '9', '7')","(5, 7, 11, 5, 7)",525,81375
98298,408,2P,4,"('9', '8', '2', '9', '8')","(5, 6, 12, 5, 6)",526,214608
99J77,20,2P,4,"('9', '9', 'J', '7', '7')","(5, 5, 3, 7, 7)",527,10540
99QQ6,348,2P,4,"('9', '9', 'Q', 'Q', '6')","(5, 5, 2, 2, 8)",528,183744
99A2A,174,2P,4,"('9', '9', 'A', '2', 'A')","(5, 5, 0, 12, 0)",529,92046
99AQA,327,2P,4,"('9', '9', 'A', 'Q', 'A')","(5, 5, 0, 2, 0)",530,173310
9T22T,944,2P,4,"('9', 'T', '2', '2', 'T')","(5, 4, 12, 12, 4)",531,501264
9T988,420,2P,4,"('9', 'T', '9', '8', '8')","(5, 4, 5, 6, 6)",532,223440
9TQ9Q,601,2P,4,"('9', 'T', 'Q', '9', 'Q')","(5, 4, 2, 5, 2)",533,320333
9Q9QJ,668,2P,4,"('9', 'Q', '9', 'Q', 'J')","(5, 2, 5, 2, 3)",534,356712
9Q9KK,639,2P,4,"('9', 'Q', '9', 'K', 'K')","(5, 2, 5, 1, 1)",535,341865
9KJK9,617,2P,4,"('9', 'K', 'J', 'K', '9')","(5, 1, 3, 1, 5)",536,330712
